Country,Region,Percent Debt,Total Debt ($PPP),GDP ($PPP)
Norway,Northern Europe,38.6,133671800000,346300000000
Zambia,Eastern Africa,37.3,22898470000,61390000000
Panama,Central America,37.2,28558440000,76770000000
"Congo, Republic of the",Central Africa,36.5,10351400000,28360000000
Burundi,Eastern Africa,36.5,3069285000,8409000000
Bolivia,Central South America,35.8,25160240000,70280000000
Georgia,Western Asia,35.3,12125550000,34350000000
Turkey,Southeastern Europe,35,530250000000,1515000000000
Angola,Central Africa,34.9,61877700000,177300000000
Switzerland,Western Europe,34.7,164235100000,473300000000
New Zealand,Oceania; Australia,34.6,55636800000,160800000000
"Korea, South",Eastern Asia,34.5,615480000000,1784000000000
Belarus,Eastern Europe,34.1,58924800000,172800000000
Cambodia,South-East Asia,33.9,17004240000,50160000000
Mali,West Africa,33.8,9295000000,27500000000
Benin,West Africa,33.8,6712680000,19860000000
Taiwan,Eastern Asia,33.4,360386000000,1079000000000
Curacao,Caribbean,33.2,1038496000,3128000000
Guam,Oceania,32.1,1567122000,4882000000
Cuba,Caribbean,32.1,41248500000,128500000000
Qatar,Middle East,31.9,97805400000,306600000000
Tanzania,Eastern Africa,31.7,40639400000,128200000000
Chad,Central Africa,30.8,9129120000,29640000000
Uganda,Eastern Africa,30.7,23049560000,75080000000
Rwanda,Eastern Africa,30.7,5802300000,18900000000
Nepal,South-Central Asia,30,20142000000,67140000000
Guatemala,Central America,30,35940000000,119800000000
Gabon,Central Africa,28.5,9379350000,32910000000
"Micronesia, Federated States of",Oceania,28,86240000,308000000
Ecuador,North West South America,27.7,50192400000,181200000000
Indonesia,Maritime South-East Asia,25.9,695674000000,2686000000000
San Marino,Southern Europe within Italy,25.8,493812000,1914000000
Bulgaria,Eastern Europe,25.3,32662300000,129100000000
Bangladesh,South-Central Asia,24,128760000000,536500000000
Namibia,Southern Africa,24,5635200000,23480000000
Cameroon,Central Africa,23.7,16063860000,67780000000
Luxembourg,Western Europe,22.5,12075750000,53670000000
"Congo, Democratic Republic of the",Central Africa,21.5,12422700000,57780000000
Anguilla,Caribbean,20.8,36483200,175400000
Peru,Western South America,20.1,74912700000,372700000000
Paraguay,Central South America,17.8,10411220000,58490000000
Moldova,Eastern Europe,17.2,3058160000,17780000000
Kazakhstan,Central Asia,15.5,65100000000,420000000000
